T,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,Vp
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
2,0.019550323486328,0.009775161743164,0.014662742614746,0.014662742614746,0.043988227844238,0.004887580871582,0.043988227844238,0.029325485229492,0.009775161743164,0.058650970458984,0.019550323486328,0.014662742614746,0.009775161743164,0.039100646972656,0.009775161743164,0.009775161743164,0.009775161743164,0.02443790435791,0.058650970458984,0.0234089399638927
3,0.04887580871582,0.053763389587402,0.043988227844238,0.043988227844238,0.097751617431641,0.053763389587402,0.087976455688477,0.087976455688477,0.053763389587402,0.092864036560059,0.034213066101074,0.043988227844238,0.068426132202148,0.053763389587402,0.039100646972656,0.039100646972656,0.04887580871582,0.058650970458984,0.092864036560059,0.0601944170500102
4,0.092864036560059,0.097751617431641,0.131964683532715,0.058650970458984,0.122189521789551,0.097751617431641,0.127077102661133,0.122189521789551,0.092864036560059,0.151515007019043,0.07331371307373,0.087976455688477,0.092864036560059,0.092864036560059,0.087976455688477,0.058650970458984,0.087976455688477,0.083088874816895,0.151515007019043,0.100581269515188
5,0.131964683532715,0.136852264404297,0.166177749633789,0.097751617431641,0.141739845275879,0.131964683532715,0.185728073120117,0.141739845275879,0.141739845275879,0.190615653991699,0.141739845275879,0.112414360046387,0.117301940917969,0.127077102661133,0.102639198303223,0.092864036560059,0.107526779174805,0.112414360046387,0.190615653991699,0.135308817813271
6,0.141739845275879,0.171065330505371,0.200390815734863,0.127077102661133,0.200390815734863,0.156402587890625,0.190615653991699,0.171065330505371,0.175952911376953,0.23949146270752,0.180840492248535,0.190615653991699,0.151515007019043,0.146627426147461,0.112414360046387,0.127077102661133,0.146627426147461,0.141739845275879,0.23949146270752,0.169007401717337
7,0.180840492248535,0.224828720092773,0.229716300964355,0.151515007019043,0.224828720092773,0.175952911376953,0.234603881835938,0.210165977478027,0.229716300964355,0.273704528808594,0.224828720092773,0.229716300964355,0.180840492248535,0.180840492248535,0.171065330505371,0.156402587890625,0.171065330505371,0.175952911376953,0.273704528808594,0.205278396606445
8,0.200390815734863,0.23949146270752,0.268816947937012,0.195503234863281,0.254154205322266,0.249266624450684,0.278592109680176,0.244379043579102,0.273704528808594,0.322580337524414,0.249266624450684,0.26392936706543,0.215053558349609,0.210165977478027,0.200390815734863,0.180840492248535,0.210165977478027,0.210165977478027,0.322580337524414,0.241549391495554
9,0.244379043579102,0.283479690551758,0.31280517578125,0.219941139221191,0.293254852294922,0.273704528808594,0.298142433166504,0.268816947937012,0.303030014038086,0.356793403625488,0.28836727142334,0.283479690551758,0.332355499267578,0.224828720092773,0.215053558349609,0.200390815734863,0.249266624450684,0.249266624450684,0.356793403625488,0.276534180892141
10,0.283479690551758,0.31280517578125,0.351905822753906,0.234603881835938,0.31280517578125,0.307917594909668,0.327467918395996,0.298142433166504,0.33724308013916,0.400781631469727,0.322580337524414,0.31280517578125,0.36168098449707,0.273704528808594,0.219941139221191,0.229716300964355,0.33724308013916,0.273704528808594,0.400781631469727,0.310490005894711
11,0.303030014038086,0.33724308013916,0.395894050598145,0.273704528808594,0.36168098449707,0.317692756652832,0.351905822753906,0.342130661010742,0.36168098449707,0.434994697570801,0.356793403625488,0.36168098449707,0.391006469726562,0.293254852294922,0.254154205322266,0.283479690551758,0.356793403625488,0.303030014038086,0.434994697570801,0.342902384306255
12,0.342130661010742,0.381231307983398,0.434994697570801,0.303030014038086,0.395894050598145,0.356793403625488,0.395894050598145,0.381231307983398,0.391006469726562,0.469207763671875,0.415444374084473,0.391006469726562,0.430107116699219,0.342130661010742,0.259041786193848,0.298142433166504,0.410556793212891,0.347018241882324,0.469207763671875,0.379687861392372
13,0.371456146240234,0.391006469726562,0.478982925415039,0.36168098449707,0.439882278442383,0.391006469726562,0.439882278442383,0.395894050598145,0.410556793212891,0.493645668029785,0.449657440185547,0.425219535827637,0.469207763671875,0.400781631469727,0.307917594909668,0.31280517578125,0.454545021057129,0.381231307983398,0.493645668029785,0.414158168591951
14,0.430107116699219,0.420331954956055,0.513195991516113,0.38611888885498,0.469207763671875,0.405669212341309,0.459432601928711,0.439882278442383,0.439882278442383,0.518083572387695,0.488758087158203,0.464320182800293,0.474095344543457,0.434994697570801,0.342130661010742,0.33724308013916,0.493645668029785,0.420331954956055,0.518083572387695,0.445027100412469
15,0.454545021057129,0.444769859313965,0.532746315002441,0.415444374084473,0.498533248901367,0.430107116699219,0.474095344543457,0.454545021057129,0.469207763671875,0.557184219360352,0.527858734130859,0.488758087158203,0.508308410644531,0.454545021057129,0.356793403625488,0.38611888885498,0.527858734130859,0.444769859313965,0.557184219360352,0.472809139050935
16,0.478982925415039,0.493645668029785,0.55229663848877,0.454545021057129,0.527858734130859,0.459432601928711,0.518083572387695,0.488758087158203,0.498533248901367,0.57673454284668,0.566959381103516,0.527858734130859,0.513195991516113,0.488758087158203,0.38611888885498,0.444769859313965,0.57673454284668,0.459432601928711,0.57673454284668,0.504707035265471
